player_name,state,from_california
Ben Gottschalk,CA,yes
Justin Collins,CA,yes
David Irving,CA,yes
Bret Miller,CA,yes
Shane Wilson,CA,yes
Ray Gervasi,CA,yes
Trevon Trejo,CA,yes
Colton Paulhus,CA,yes
Sean Kurtz,CA,yes
Anthony Pierce,CA,yes
Blake Brady,CA,yes
Mark Borland,CA,yes
Jack Flatau,CA,yes
Tony Peterson,CA,yes
Haden Gregory,CA,yes
Chris Stringer,CA,yes
Tyler Hadden,CA,yes
Cole Ramseyer,CA,yes
Julian Gener,CA,yes
Steven Haunga,CA,yes
Corey Hobbs,CA,yes
Nick Sloan,CA,yes
David Wilkerson,CA,yes
Matt Schilz,CA,yes
John Hardy-Tuliau,CA,yes
Beau Boyster,CA,yes
Luca Bruno,CA,yes
Ryan Coleman,CA,yes
Michael Murphy,CA,yes
Sterling Carter,CA,yes
Brian Chacon,CA,yes
Faitele Faafoi,CA,yes
Scott Baron,CA,yes
Mike Loftus,CA,yes
Marcus Langkilde,CA,yes
Adam Whalen,CA,yes
Trayvon Henderson,CA,yes
Spencer Stephens,CA,yes
Eric Bender-Ramsay,CA,yes
T.D. Gross,CA,yes
Daniel Whitaker,CA,yes
Andrew Antognoli,CA,yes
Troy Niklas,CA,yes
Kirifi Taula,CA,yes
Austin Hyatt,CA,yes
Nick O'Toole,CA,yes
Jacob Alsadek,CA,yes
Pierce Richardson,CA,yes
David Richards,CA,yes
Kent Collins,CA,yes
Franco Brunet,CA,yes
Kyle Moreno,CA,yes
Aaron Lacombe,CA,yes
Ruben Guzman,CA,yes
Nick Usher,CA,yes
Michael Ramirez,CA,yes
Phil Taylor,CA,yes
Trevor Kanteman,CA,yes
Jack Mitchell,CA,yes
Donte' Cretain,CA,yes
Jabari Mathieu,CA,yes
Ryne Morrison,CA,yes
Christopher Ogilvie,CA,yes
Melvin Jones,CA,yes
Adam Witzmann,CA,yes
Nolan Heyer,CA,yes
Dan Pettinato,CA,yes
Jordan Ferguson,CA,yes
Sione Tuihalamaka,CA,yes
Mason Orradre,CA,yes
Christian Holloway,CA,yes
Reiley Higgins,CA,yes
Nat Bellamy,CA,yes
Aaron Bennett,CA,yes
Khodadod Kia,CA,yes
Demitri Diamond,CA,yes
Donovan Harden,CA,yes
Gavin Jernigan,CA,yes
Eddy Sihavong,CA,yes
Tevita Lataimua,CA,yes
Kyle Kelley,CA,yes
Mike Markovsky,CA,yes
Kody Afusia,CA,yes
George Daily-Lyles,CA,yes
Mike Bercovici,CA,yes
Brenden Daley,CA,yes
Raymond Holden,CA,yes
Max Herman,CA,yes
Richard Smith,CA,yes
Alonzo Agwuenu,CA,yes
Alden Darby,CA,yes
Monti Phillips,CA,yes
Greg Latta,CA,yes
Daniel Mosko,CA,yes
Brodie Nakama,CA,yes
Seth Jacobs,CA,yes
Matthew Billeci,CA,yes
Sean Berman,CA,yes
Carlos Mendoza,CA,yes
Kyle Middlebrooks,CA,yes
Dejon Allen,CA,yes
Michael Eubank,CA,yes
Chaz Claunch,CA,yes
Jake Minster,CA,yes
Gary Thompson,CA,yes
Jordan Smith,CA,yes
De'Marieya Nelson,CA,yes
Rashad Wadood,CA,yes
Alexander Norocea,CA,yes
Marlon Pollard,CA,yes
Deion Williams,CA,yes
Solomon Means,CA,yes
Wade Norberg,CA,yes
Paul Senn,CA,yes
Evan Williams,CA,yes
Shawn Lemoto,CA,yes
Jonathan Mooney,CA,yes
James Johnson,CA,yes
Taylor Cohan,CA,yes
Gage Niemeyer,CA,yes
Luke Benuska,CA,yes
Zach Griffith,CA,yes
Mike Milovale,CA,yes
Andrew Terry,CA,yes
Andrew DeSesa,CA,yes
Jayme Otomewo,CA,yes
Leo Koloamatangi,CA,yes
Osahon Irabor,CA,yes
Nick Childs,CA,yes
Deantre Lewis,CA,yes
Ryan DeBusk,CA,yes
Eric Morris,CA,yes
Bubba Poueu-Luna,CA,yes
Xavier Russo,CA,yes
Clark Evans,CA,yes
Will Smith,CA,yes
Craig Cofer,CA,yes
Quincy Enunwa,CA,yes
Matthew Rowe,CA,yes
R.J. Robinson,CA,yes
Andrew Nairin,CA,yes
Luke Williams,CA,yes
Josh Long,CA,yes
Cameron Bryant,CA,yes
Davion Fleming,CA,yes
Brock Vereen,CA,yes
Viliami Latu,CA,yes
Christian Salem,CA,yes
Clayton Eubank,CA,yes
Alani Latu,CA,yes
Jeremy Baltazar,CA,yes
Kipeli Koniseti,CA,yes
Dwain Bradshaw,CA,yes
Troy Doles,CA,yes
Marco Fragnito,CA,yes
Chauntez Jackson,CA,yes
Donald Sproal,CA,yes
Nick Kelly,CA,yes
Silas Nacita,CA,yes
Carl Bradford,CA,yes
Tyler Sulka,CA,yes
Jason Franklin,CA,yes
David Manoa,CA,yes
Garrett Swanky,CA,yes
Jackson Dionne,CA,yes
Grandville Taylor,CA,yes
Meffy Koloamatangi,CA,yes
Sil Ajawara,CA,yes
Salamo Fiso,CA,yes
Evan Finkenberg,CA,yes
Kirk Nakama,CA,yes
Iuta Tepa,CA,yes
Kelly Hilinski,CA,yes
Tyler Lehrke,CA,yes
Brandon Wimberly,CA,yes
Jack Powers,CA,yes
Richy Turner,CA,yes
Jamil Douglas,CA,yes
Nigel Westbrooks,CA,yes
Stephon McCray,CA,yes
Brett Nottingham,CA,yes
Kendall Brock,CA,yes
Fie Faaituala,CA,yes
Don Jackson,CA,yes
Kevin Ozier,CA,yes
Markus Smith,CA,yes
Hank Trumbull,CA,yes
Ian Seau,CA,yes
Matthew Lyons,CA,yes
Blake Covey,CA,yes
Chris Coyle,CA,yes
Marquel Carter,CA,yes
Reggie Coates,CA,yes
Burton De Koning,CA,yes
Andy McAlindon,CA,yes
Will Sutton,CA,yes
Dustin Treick,CA,yes
Auston Johnson,CA,yes
Devin Combs,CA,yes
Sean O'Grady,CA,yes
Devin Taverna,CA,yes
Mitchell Howard,CA,yes
Dante Mayes,CA,yes
Mike Parros,CA,yes
Tyler Stewart,CA,yes
Kaodi Dike,CA,yes
Cody Fajardo,CA,yes
Bryson Keeton,CA,yes
Bryce Treggs,CA,yes
Darius Allensworth,CA,yes
Adam Malkiewicz,CA,yes
Evan Favors,CA,yes
Jaden Sawyer,CA,yes
Kameron Jackson,CA,yes
Alec Fisher,CA,yes
Kenny Lawler,CA,yes
Ronald Powell,CA,yes
Sadale Foster,CA,yes
Chris Solomon,CA,yes
Jarrid Bryant,CA,yes
Brendan Bigelow,CA,yes
Jordan Tolson,CA,yes
Chris Harper,CA,yes
Jacob Ardron,CA,yes
Lofi Tamasese,CA,yes
Nigel Haikins,CA,yes
Jalen Jefferson,CA,yes
Isaiah Kempf,CA,yes
Michael Barton,CA,yes
Zach Kline,CA,yes
Wardell Crutchfield III,CA,yes
Malcolm Caldwell-Meeks,CA,yes
Matt Anderson,CA,yes
Jason Gibson,CA,yes
Jimmy Yukevich,CA,yes
Lucas King,CA,yes
Keith Ramljak,CA,yes
Darius Powe,CA,yes
Kyle Staples,CA,yes
Charles Garrett,CA,yes
Bryan Lane Jr.,CA,yes
Vincenzo D'Amato,CA,yes
Patrick Finnegan,CA,yes
Kyle Kragen,CA,yes
Julian Winters,CA,yes
Jake Geringer,CA,yes
Isaiah Gross,CA,yes
Chad Smith,CA,yes
Cameron Walker,CA,yes
Raymond Hudson,CA,yes
Elijah Mitchell,CA,yes
Jared Goff,CA,yes
Nick Marsh,CA,yes
Kyle Boehm,CA,yes
Joey Andrada,CA,yes
Walter Woods III,CA,yes
Joel Willis,CA,yes
Spencer Fox,CA,yes
Chad Washington,CA,yes
Noah Beito,CA,yes
Randy Uzoma,CA,yes
Arthur Forrest II,CA,yes
Caleb Coleman,CA,yes
Stefan McClure,CA,yes
Devoreaux Stewart,CA,yes
Tanner Wrout,CA,yes
Xavier Stephens,CA,yes
Conner Armstrong,CA,yes
Kendall Brown,CA,yes
Antione Davis,CA,yes
Austin Harper,CA,yes
Jarrod Watson-Lewis,CA,yes
Jordan Perkins,CA,yes
Dalton Douglas,CA,yes
Brendan O'Donnell,CA,yes
Anthony Gutierrez,CA,yes
Jeff Mathews,CA,yes
Blair Boyce,CA,yes
Ikem Okwudiafor,CA,yes
Mitchel Bartolo,CA,yes
Jonny Martin,CA,yes
Austin Wahl,CA,yes
Damariay Drew,CA,yes
Brandon Andrews,CA,yes
Andrew Green,CA,yes
Jackson Bouza,CA,yes
Lorenzo Devers,CA,yes
Lucas Shapiro,CA,yes
Khalfani Muhammad,CA,yes
Jeffrey Coprich,CA,yes
Drew White,CA,yes
Raymond Davison,CA,yes
